DTYYYYMMDD,Open,High,Low,Close,Vol
20160127,1.22103,1.22178,1.22089,1.2217,3641.0
20160128,1.22171,1.22189,1.22011,1.22055,3371.0
20160129,1.22054,1.2212,1.22041,1.22116,3026.0
20160130,1.22117,1.22128,1.22058,1.22098,2286.0
20160131,1.22098,1.22188,1.22071,1.22125,3186.0
20160201,1.22124,1.22228,1.22119,1.22206,3063.0
20160202,1.22201,1.2221,1.21837,1.21976,7981.0
20160203,1.21977,1.22008,1.21821,1.21951,9093.0
20160204,1.21952,1.22509,1.21869,1.22452,8471.0
20160205,1.2245,1.22647,1.22279,1.22554,6662.0
20160206,1.22555,1.22633,1.2245,1.22585,6280.0
20160207,1.22585,1.22629,1.22443,1.22444,6053.0
20160208,1.22445,1.22594,1.21,1.21266,18603.0
20160209,1.21266,1.21469,1.21113,1.21316,19627.0
20160210,1.21305,1.21305,1.20615,1.21037,22981.0
20160211,1.21037,1.21151,1.20647,1.20707,13473.0
20160212,1.20707,1.20919,1.20684,1.20738,9069.0
20160213,1.20737,1.20748,1.20586,1.20604,7072.0
20160214,1.20603,1.20629,1.2052,1.20547,6585.0
20160215,1.20546,1.20563,1.20494,1.20496,5867.0
20160216,1.20503,1.2056,1.20461,1.20506,1768.0
20160217,1.20322,1.20428,1.20301,1.20395,383.0
20160218,1.20377,1.20554,1.20312,1.20425,2940.0
20160219,1.20424,1.20494,1.203,1.20379,4622.0
20160220,1.20381,1.20491,1.20338,1.20408,5529.0
20160221,1.20408,1.20599,1.20373,1.20537,5199.0
20160222,1.20536,1.2062,1.20503,1.20519,3562.0
20160223,1.20519,1.20622,1.20507,1.20583,4646.0
20160224,1.20582,1.20667,1.2054,1.20664,3432.0
20160225,1.20665,1.20677,1.20547,1.20628,3135.0
20160226,1.20628,1.20668,1.20505,1.20524,6348.0
20160227,1.20524,1.20691,1.20346,1.206,9674.0
20160228,1.20601,1.20679,1.20337,1.20357,9393.0
20160229,1.20356,1.20431,1.20209,1.20259,8182.0
20160301,1.20256,1.20551,1.20205,1.20499,6505.0
20160302,1.20499,1.20765,1.20419,1.20658,7276.0
20160303,1.20658,1.20718,1.20451,1.20483,8082.0
20160304,1.20481,1.20743,1.20378,1.20491,10908.0
20160305,1.20492,1.2052,1.20059,1.2012,11489.0
20160306,1.20117,1.20268,1.20047,1.20075,8927.0
20160307,1.20075,1.20183,1.20054,1.20109,7130.0
20160308,1.20108,1.20259,1.2007,1.20236,5440.0
20160309,1.20237,1.20378,1.20209,1.20228,5751.0
20160310,1.20227,1.20301,1.20162,1.20222,7155.0
20160311,1.20222,1.20238,1.20171,1.20195,1231.0
20160312,1.20194,1.20219,1.20155,1.20155,659.0
20160313,1.20153,1.20261,1.20132,1.20248,876.0
20160314,1.20248,1.20359,1.20235,1.20349,2896.0
20160315,1.2035,1.20537,1.20346,1.20507,3723.0
20160316,1.20508,1.20517,1.20453,1.20499,2890.0
20160317,1.205,1.20542,1.20425,1.2045,3818.0
20160318,1.20449,1.20466,1.2034,1.20399,2733.0
20160319,1.20399,1.20492,1.20376,1.20474,2764.0
20160320,1.20475,1.20564,1.20411,1.20415,4230.0
20160321,1.20416,1.20429,1.20178,1.20218,6689.0
20160322,1.20217,1.20283,1.19857,1.20211,12599.0
20160323,1.20211,1.20396,1.2004,1.20043,8586.0
